row,cell,Cell_Label,Z_Height_mm,RPM,Elapsed_Time_s,Torque_%,Rotational_Drag,CV,R2,Trend_Slope,Second_derivative,Second_derivative_drag,Second_derivative_cv,Second_derivative_slope,R2_drag,R2_cv,R2_slope,Hit_2nd_Deriv_Drag,Hit_2nd_Deriv_CV,Hit_2nd_Deriv_Slope,Hit_R2_Drag,Hit_R2_CV,Hit_R2_Slope,Samples_Collected_At_Z,Hit_Point_Confidence,Hit_Detected
1,1,,-66.04,1.3,25.03,36.24,27.876923,0.939867,0.995977,-34.884615,423.076923,423.076923,-9.639865,-5384.615385,0.995977,0.939867,0.870083,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,1,,-66.06,1.3,25.03,37.46,28.815385,0.909082,0.995848,-39.076923,307.692308,307.692308,4.881641,-10480.76923,0.995848,0.909082,0.82086,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,1,,-66.08,1.3,25.06,38.65,29.730769,0.956161,0.995032,-41.923077,-57.692308,-57.692308,-4.113782,-7115.384615,0.995032,0.956161,0.899234,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,1,,-66.1,1.3,25.04,39.98,30.753846,0.986677,0.998583,-46.192308,269.230769,269.230769,2.824773,-10673.07692,0.998583,0.986677,0.857143,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,1,,-66.12,1.3,25.07,41.4,31.846154,0.98543,0.998609,-49.384615,173.076923,173.076923,-3.154412,-7980.769231,0.998609,0.98543,0.899999,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,1,,-66.14,1.3,25.04,42.91,33.007692,0.982641,0.997946,-52.5,173.076923,173.076923,-0.651783,-7788.461538,0.997946,0.982641,0.894046,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,1,,-66.16,1.3,25.04,44.48,34.215385,0.974376,0.998906,-56.115385,115.384615,115.384615,0.592467,-9038.461538,0.998906,0.974376,0.88318,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,5,0.4,FALSE
1,1,,-66.18,1.3,25.05,46.31,35.623077,0.993835,0.997626,-60.538462,500,500,1.228927,-11057.69231,0.997626,0.993835,0.878758,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,1,,-66.2,1.3,25.04,48.16,37.046154,0.993123,0.997699,-65.076923,38.461538,38.461538,-0.505383,-11346.15385,0.997699,0.993123,0.891481,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,5,0.2,FALSE
1,1,,-66.22,1.3,30.08,50.63,38.946154,0.94453,0.992948,-73.538462,1192.307692,1192.307692,7.166255,-21153.84615,0.992948,0.94453,0.827379,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6,0.4,FALSE
1,1,,-66.24,1.3,30.09,53.12,40.861538,0.953175,0.993835,-83.076923,38.461538,38.461538,0.149466,-23846.15385,0.993835,0.953175,0.885394,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,6,0.4,FALSE
